월,실제총지수,바텀업예측,바텀업오차%,탑다운예측(총지수자체),탑다운오차%,하이브리드예측,하이브리드오차%
2024-09,114.65,114.55204412191762,-0.08543905633003744,114.90249519676217,0.2202313098666977,114.62737671138736,-0.019732480255254786
2024-10,114.69,114.39288977362224,-0.25905504087344483,114.6189977445548,-0.06190797405632043,114.48431790829153,-0.17933742410713038
2024-11,114.4,114.37691207328048,-0.02018175412546006,114.49059239463483,0.07918915614932279,114.35847603125681,-0.036297175474818255
2024-12,114.91,114.65539135134844,-0.22157222926773548,114.60325188129467,-0.2669464091074136,114.680260649174,-0.19992981535636098
2025-01,115.71,115.5250826650068,-0.15981102324188698,115.45656235445483,-0.21902829966741175,115.62697638612796,-0.0717514595730961
2025-02,116.08,116.08320561457333,0.0027615563174811573,116.1256279019541,0.03930728976060106,116.1431640084259,0.054414204364145784
2025-03,116.29,116.01924801237011,-0.23282482382826825,116.39752343493528,0.092461462666845,116.10121898456889,-0.1623364136478788
2025-04,116.38,116.16154976659102,-0.18770427342238602,116.45916275860253,0.06802093023074036,116.25949279478878,-0.10354631827737713
2025-05,116.27,116.42090964646344,0.12979241976730604,116.53272104891415,0.22595772676886464,116.5097505616455,0.20620156673734222
2025-06,116.31,116.27039027911677,-0.03405530124944927,116.29726738038705,-0.010947140927647975,116.29785838090082,-0.01043901564713466
2025-07,116.52,116.39311209010322,-0.10889796592583258,116.48083051168076,-0.03361610738004764,116.49965958363701,-0.0174565880217852
2025-08,116.45,116.9258861965151,0.40866139674975643,116.90779154145774,0.3931228350860778,117.05864475052798,0.5226661661897571
2025-09,117.06,117.41382576742488,0.3022601806124036,116.74064599360041,-0.2728122385098176,117.54088461742741,0.4108018259246597
2025-10,117.42,117.06492875219885,-0.3023941814010808,117.01768981321811,-0.34262492486960433,117.17124464787729,-0.21185092158296212
2025-11,117.2,117.22543679352961,0.02170374874539878,117.22577036932167,0.021988369728381106,117.26407731279004,0.054673475076820084
2025-12,117.57,117.54864134797096,-0.018166753448189427,117.42993318602373,-0.11913482519032197,117.58322144237145,0.011245591878421415
2026-01,118.03,117.9120030299915,-0.099972015596463,118.12755855443618,0.08265572687975628,118.03206060407616,0.0017458307855320564
2026-02,118.4,118.16970572848564,-0.19450529688713444,118.42000409508431,0.01689535057795881,118.24160555336077,-0.1337790934453001
2026-03,118.8,118.95152026692324,0.1275423122249514,118.69145204820047,-0.09137032979757785,118.98660483088247,0.15707477347009516
2026-04,119.37,119.40332031611408,0.02791347584323666,118.9594432515981,-0.3439362891864806,119.48959002817811,0.10018432451881483
2026-05,119.92,119.68929250157358,-0.19238450502537202,119.54064059754621,-0.3163437311989549,119.76675672291192,-0.12778792285530377
2026-06,119.99,120.0192235198762,0.02435496281041038,120.0228829434097,0.027404736569466705,120.05716654549137,0.0559767859749771
2026-07,119.77,119.80879620508159,0.03239225605877579,120.23320727222061,0.3867473258918048,119.93824057560843,0.1404697132908378
2026-08,120.05,120.17268737875173,0.10219690025134098,120.17296741780666,0.10243016893516292,120.33155823926548,0.2345341434947763
